sujet,date,statut
Pourquoi les baleines sont-elles pratiquement absentes de l'art occidental avant le XIXe siècle ?,2025-10-15T14:59:35.108809,succès
Comment les peintres mogols représentaient-ils les éléphants de guerre ?,2025-10-17T09:38:04.353972,succès
Quelle technique permettait aux Égyptiens de rendre le plumage coloré des ibis ?,2025-10-21T09:40:34.776550,succès
Les animaux de compagnie dans les portraits de cour : attribut de pouvoir ou affection réelle ?,2025-10-24T09:39:52.965182,succès
Pourquoi Goya a-t-il représenté des chats si maléfiques dans ses gravures ?,2025-10-28T07:35:05.737054,succès
Comment identifier les différentes races de chiens dans la peinture flamande du XVIIe siècle ?,2025-11-04T07:35:03.807228,succès
Quelle est l'origine du pélican se perçant le flanc dans l'iconographie chrétienne ?,2025-11-11T07:35:06.436524,succès
Les lièvres de Dürer : révolution du dessin d'observation au XVIe siècle ?,2025-11-18T07:13:21.358274,succès
Pourquoi les crocodiles du Nil étaient-ils représentés différemment selon les nomes égyptiens ?,2025-11-25T07:14:22.862546,succès
Comment les artistes toltèques différenciaient-ils le coyote du chien dans leurs sculptures ?,2025-12-02T07:16:50.819942,succès
Quelle symbolique du rat dans l'art chinois versus l'art européen médiéval ?,2025-12-09T07:16:02.913270,succès
Les animaux fantastiques dans les chapiteaux romans : bible des illettrés ou pure décoration ?,2025-12-16T07:18:00.244314,succès
Pourquoi Matisse a-t-il utilisé des poissons rouges comme motif récurrent ?,2025-12-23T07:18:12.029622,succès
